,Time,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,FreshTyre,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate
0,00:21:09,3,,1,1,00:19:13,,,00:00:35,00:00:40,,00:20:29,00:21:10,280.0,313.0,313.0,228.0,SOFT,1.0,True,,McLaren,RIC,1,False,
1,00:22:31,3,00:01:21,2,1,,,00:00:27,00:00:27,00:00:26,00:21:37,00:22:04,00:22:31,321.0,331.0,317.0,337.0,SOFT,2.0,True,00:21:09,McLaren,RIC,1,True,2021-09-10 16:06:10.007
2,00:24:40,3,00:02:09,3,1,,,00:00:38,00:00:42,00:00:48,00:23:09,00:23:51,00:24:40,279.0,196.0,313.0,243.0,SOFT,3.0,True,00:22:31,McLaren,RIC,1,True,2021-09-10 16:07:31.299
3,00:26:12,3,00:01:31,4,2,,00:26:08,00:00:27,00:00:27,00:00:36,00:25:07,00:25:35,00:26:12,322.0,335.0,,338.0,SOFT,1.0,True,00:24:40,McLaren,RIC,1,False,2021-09-10 16:09:40.874
4,00:33:05,3,,5,3,00:31:02,00:33:00,,00:00:39,00:00:43,,00:32:22,00:33:05,200.0,292.0,,209.0,SOFT,1.0,True,00:26:12,McLaren,RIC,1,False,2021-09-10 16:11:12.075
5,00:43:40,3,,6,3,00:41:51,,,00:00:35,00:00:33,,00:43:06,00:43:40,298.0,311.0,315.0,122.0,SOFT,2.0,True,00:33:05,McLaren,RIC,1,False,2021-09-10 16:18:05.421
6,00:45:01,3,00:01:20,7,3,,,00:00:26,00:00:26,00:00:26,00:44:07,00:44:34,00:45:01,324.0,332.0,316.0,339.0,SOFT,3.0,True,00:43:40,McLaren,RIC,1,True,2021-09-10 16:28:40.665
7,00:46:54,3,00:01:52,8,4,,00:46:50,00:00:32,00:00:35,00:00:44,00:45:33,00:46:09,00:46:54,294.0,257.0,,255.0,SOFT,1.0,True,00:45:01,McLaren,RIC,1,False,2021-09-10 16:30:01.100
8,00:54:26,3,,9,4,00:52:49,,,00:00:32,00:00:30,,00:53:55,00:54:26,299.0,311.0,316.0,237.0,SOFT,2.0,True,00:46:54,McLaren,RIC,1,False,2021-09-10 16:31:54.063
9,00:55:46,3,00:01:20,10,4,,,00:00:26,00:00:27,00:00:26,00:54:53,00:55:20,00:55:46,324.0,332.0,318.0,340.0,SOFT,3.0,True,00:54:26,McLaren,RIC,1,True,2021-09-10 16:39:26.355
10,00:57:29,3,00:01:42,11,5,,00:57:25,00:00:32,00:00:32,00:00:37,00:56:19,00:56:52,00:57:29,284.0,304.0,,256.0,SOFT,1.0,True,00:55:46,McLaren,RIC,1,False,2021-09-10 16:40:46.810
11,01:05:30,3,,12,5,01:03:46,,,00:00:34,00:00:32,,01:04:58,01:05:30,270.0,309.0,316.0,197.0,SOFT,2.0,True,00:57:29,McLaren,RIC,1,False,2021-09-10 16:42:29.185
12,01:06:50,3,00:01:20,13,5,,,00:00:26,00:00:26,00:00:26,01:05:57,01:06:24,01:06:50,324.0,331.0,316.0,338.0,SOFT,3.0,True,01:05:30,McLaren,RIC,1,True,2021-09-10 16:50:30.726
13,01:08:36,3,00:01:45,14,6,,01:08:32,00:00:30,00:00:33,00:00:40,01:07:21,01:07:55,01:08:36,296.0,259.0,,292.0,SOFT,1.0,True,01:06:50,McLaren,RIC,1,False,2021-09-10 16:51:50.979
14,01:14:03,3,,15,6,01:12:08,,,00:00:35,00:00:38,,01:13:25,01:14:03,297.0,314.0,316.0,122.0,SOFT,2.0,True,01:08:36,McLaren,RIC,1,False,2021-09-10 16:53:36.280
15,01:15:23,3,00:01:19,16,6,,,00:00:26,00:00:26,00:00:26,01:14:30,01:14:57,01:15:23,324.0,332.0,314.0,337.0,SOFT,3.0,True,01:14:03,McLaren,RIC,1,True,2021-09-10 16:59:03.943
16,00:19:13,4,,1,1,00:17:29,,,00:00:37,00:00:33,,00:18:40,00:19:13,285.0,297.0,314.0,250.0,SOFT,1.0,True,,McLaren,NOR,1,False,
17,00:20:35,4,00:01:21,2,1,,,00:00:27,00:00:27,00:00:26,00:19:40,00:20:08,00:20:35,321.0,322.0,304.0,330.0,SOFT,2.0,True,00:19:13,McLaren,NOR,1,True,2021-09-10 16:04:13.357
18,00:22:37,4,00:02:02,3,1,,,00:00:39,00:00:44,00:00:38,00:21:14,00:21:59,00:22:37,232.0,148.0,282.0,260.0,SOFT,3.0,True,00:20:35,McLaren,NOR,1,True,2021-09-10 16:05:35.038
19,00:24:52,4,00:02:14,4,1,,,00:00:40,00:00:47,00:00:46,00:23:18,00:24:05,00:24:52,235.0,240.0,313.0,211.0,SOFT,4.0,True,00:22:37,McLaren,NOR,1,True,2021-09-10 16:07:37.978
20,00:26:13,4,00:01:21,5,1,,,00:00:27,00:00:27,00:00:26,00:25:19,00:25:46,00:26:13,321.0,330.0,318.0,335.0,SOFT,5.0,True,00:24:52,McLaren,NOR,1,True,2021-09-10 16:09:52.482
21,,4,00:01:49,6,2,,00:27:59,00:00:38,00:00:35,00:00:35,00:26:52,00:27:27,,252.0,292.0,,124.0,SOFT,1.0,True,00:26:13,McLaren,NOR,1,False,2021-09-10 16:11:13.591
22,00:32:51,4,,7,2,00:30:41,,,00:00:34,00:00:59,,00:31:51,00:32:51,300.0,320.0,313.0,170.0,SOFT,2.0,True,,McLaren,NOR,1,False,2021-09-10 16:13:03.011
23,00:34:12,4,00:01:20,8,2,,,00:00:26,00:00:27,00:00:26,00:33:18,00:33:45,00:34:12,324.0,337.0,318.0,341.0,SOFT,3.0,True,00:32:51,McLaren,NOR,1,True,2021-09-10 16:17:51.184
24,00:36:01,4,00:01:49,9,3,,00:35:57,00:00:33,00:00:35,00:00:40,00:34:45,00:35:20,00:36:01,252.0,266.0,,190.0,SOFT,1.0,True,00:34:12,McLaren,NOR,1,False,2021-09-10 16:19:12.100
25,00:43:50,4,,10,3,00:42:14,,,00:00:33,00:00:31,,00:43:19,00:43:50,297.0,312.0,315.0,254.0,SOFT,2.0,True,00:36:01,McLaren,NOR,1,False,2021-09-10 16:21:01.551
26,00:45:11,4,00:01:20,11,3,,,00:00:26,00:00:26,00:00:26,00:44:17,00:44:44,00:45:11,323.0,331.0,308.0,339.0,SOFT,3.0,True,00:43:50,McLaren,NOR,1,True,2021-09-10 16:28:50.743
27,00:46:59,4,00:01:48,12,4,,00:46:53,00:00:32,00:00:34,00:00:40,00:45:43,00:46:18,00:46:59,267.0,276.0,,230.0,SOFT,1.0,True,00:45:11,McLaren,NOR,1,False,2021-09-10 16:30:11.099
28,00:54:30,4,,13,4,00:52:55,,,00:00:33,00:00:30,,00:54:00,00:54:30,288.0,312.0,315.0,245.0,SOFT,2.0,True,00:46:59,McLaren,NOR,1,False,2021-09-10 16:31:59.195
29,00:55:50,4,00:01:20,14,4,,,00:00:26,00:00:26,00:00:26,00:54:57,00:55:24,00:55:50,322.0,329.0,313.0,338.0,SOFT,3.0,True,00:54:30,McLaren,NOR,1,True,2021-09-10 16:39:30.878
30,00:57:36,4,00:01:45,15,5,,00:57:32,00:00:32,00:00:34,00:00:38,00:56:23,00:56:57,00:57:36,236.0,250.0,,212.0,SOFT,1.0,True,00:55:50,McLaren,NOR,1,False,2021-09-10 16:40:50.937
31,01:05:34,4,,16,5,01:03:53,,,00:00:34,00:00:34,,01:05:00,01:05:34,299.0,315.0,316.0,235.0,SOFT,2.0,True,00:57:36,McLaren,NOR,1,False,2021-09-10 16:42:36.510
32,01:06:54,4,00:01:20,17,5,,,00:00:26,00:00:26,00:00:26,01:06:01,01:06:28,01:06:54,323.0,333.0,309.0,338.0,SOFT,3.0,True,01:05:34,McLaren,NOR,1,True,2021-09-10 16:50:34.590
33,01:08:40,4,00:01:45,18,6,,01:08:36,00:00:31,00:00:34,00:00:39,01:07:26,01:08:00,01:08:40,276.0,194.0,,233.0,SOFT,1.0,True,01:06:54,McLaren,NOR,1,False,2021-09-10 16:51:54.604
34,01:14:20,4,,19,6,01:12:27,,,00:00:36,00:00:38,,01:13:41,01:14:20,298.0,306.0,316.0,235.0,SOFT,2.0,True,01:08:40,McLaren,NOR,1,False,2021-09-10 16:53:40.059
35,01:15:40,4,00:01:19,20,6,,,00:00:26,00:00:26,00:00:26,01:14:47,01:15:13,01:15:40,322.0,334.0,308.0,337.0,SOFT,3.0,True,01:14:20,McLaren,NOR,1,True,2021-09-10 16:59:20.304
36,00:20:51,5,,1,1,00:19:04,,,00:00:40,00:00:34,,00:20:17,00:20:52,247.0,305.0,306.0,210.0,SOFT,1.0,True,,Aston Martin,VET,1,False,
37,00:22:14,5,00:01:22,2,1,,,00:00:27,00:00:27,00:00:27,00:21:19,00:21:46,00:22:14,316.0,324.0,306.0,332.0,SOFT,2.0,True,00:20:51,Aston Martin,VET,1,True,2021-09-10 16:05:51.887
38,00:24:31,5,00:02:17,3,1,,,00:00:37,00:00:50,00:00:49,00:22:51,00:23:41,00:24:31,105.0,120.0,304.0,268.0,SOFT,3.0,True,00:22:14,Aston Martin,VET,1,True,2021-09-10 16:07:14.028
39,00:25:58,5,00:01:26,4,1,,,00:00:27,00:00:27,00:00:31,00:24:59,00:25:26,00:25:58,309.0,313.0,275.0,330.0,SOFT,4.0,True,00:24:31,Aston Martin,VET,1,True,2021-09-10 16:09:31.554
40,00:27:37,5,00:01:39,5,2,,00:27:33,00:00:32,00:00:30,00:00:36,00:26:30,00:27:00,00:27:37,299.0,308.0,,287.0,SOFT,1.0,True,00:25:58,Aston Martin,VET,1,False,2021-09-10 16:10:58.022
41,00:32:25,5,,6,2,00:30:27,,,00:00:38,00:00:46,,00:31:38,00:32:25,217.0,304.0,308.0,204.0,SOFT,2.0,True,00:27:37,Aston Martin,VET,1,False,2021-09-10 16:12:37.291
42,00:33:46,5,00:01:21,7,2,,,00:00:27,00:00:27,00:00:27,00:32:52,00:33:19,00:33:46,316.0,325.0,308.0,330.0,SOFT,3.0,True,00:32:25,Aston Martin,VET,1,True,2021-09-10 16:17:25.406
43,00:35:35,5,00:01:48,8,3,,00:35:32,00:00:33,00:00:33,00:00:40,00:34:20,00:34:54,00:35:35,248.0,275.0,,193.0,SOFT,1.0,True,00:33:46,Aston Martin,VET,1,False,2021-09-10 16:18:46.800
44,00:43:10,5,,9,3,00:41:27,,,00:00:36,00:00:34,,00:42:36,00:43:10,292.0,306.0,308.0,238.0,SOFT,2.0,True,00:35:35,Aston Martin,VET,1,False,2021-09-10 16:20:35.567
